hidden_layers,neurons,activation,optimizer,avg_R2,avg_MAE,avg_MSE,avg_RMSE
3,32,sigmoid,sgd,-0.006942194973903182,0.1693377749277106,0.0441554481615702,0.20995995371652842
3,32,sigmoid,adagrad,-2.5244628484044083,0.31309523672196415,0.1483322074124706,0.3649730863270907
3,32,tanh,adam,0.7218460562473845,0.08646854695147967,0.012184023932363553,0.11009766838620583
3,32,tanh,sgd,0.6899390224232707,0.0920188445883859,0.013568305366192638,0.11630438665550395
3,32,tanh,adagrad,0.6088685073708829,0.10087924112041473,0.0169463464421287,0.13001255936761918
3,64,relu,adam,0.8456283012558476,0.06478162621814303,0.00674667566206612,0.08195539343165725
3,64,relu,sgd,0.6072394157529319,0.10300226175360457,0.017026123973749155,0.13014971702998138
3,64,relu,adagrad,0.333711744951816,0.1332286690060456,0.028826559922652727,0.16922254249660168
3,64,leaky_relu,adam,0.8497498984108367,0.06412768087961704,0.006550158175329829,0.08085522913109422
3,64,leaky_relu,sgd,0.6405541249659155,0.09791675832457841,0.015648812878779887,0.12496072578060329
3,64,leaky_relu,adagrad,0.500919781775489,0.1156065160561538,0.021638290288885784,0.1467434347697141
3,64,sigmoid,adam,0.4170738103492952,0.12578755145993975,0.025112832417885422,0.15519239119252876
3,64,sigmoid,sgd,-0.011796218547100602,0.16965060169327711,0.04436154890480828,0.21045762100595217
3,64,sigmoid,adagrad,-0.0111122344378066,0.16971905119648903,0.04431692313722373,0.21036828452894615
3,64,tanh,adam,0.7386307344960068,0.08397112058696136,0.011469793818554792,0.10678353580610567
3,64,tanh,sgd,0.7059247428990801,0.08959422195359275,0.012879006291930322,0.11327194600613363
3,64,tanh,adagrad,0.692312969905152,0.08939050261702959,0.013369797024404096,0.11558471925153413
3,128,relu,adam,0.8629891320963766,0.05864375840110425,0.005967570178489187,0.07715196013179244
